11,0.883372594
11.5,0.860425891
12,0.846654009
12.5,0.828125
13,0.810405132
13.5,0.800611537
14,0.784023669
14.5,0.779438735
15,0.779438735
15.5,0.784023669
16,0.791051825
16.5,0.800611537
17,0.810405132
17.5,0.823013117
18,0.825617284
18.5,0.833366297
19,0.838641189
19.5,0.843949045
20,0.852098842
20.5,0.85761416
21,0.863201341
21.5,0.866013072
22,0.874596985
22.5,0.880408389
23,0.886297539
23.5,0.883372594
24,0.886297539
24.5,0.886297539
25,0.892346939
25.5,0.886297539
26,0.889301802
26.5,0.89527027
27,0.916965996
27.5,0.923356158
28,0.939716312
28.5,0.956691169
29,0.974317383
29.5,0.996240602
30,1
30.5,1
31,1
31.5,1
32,1
32.5,1
33,1
33.5,0.98880597
34,0.996240602
34.5,0.996240602
35,0.996240602
35.5,0.996240602
36,0.996240602
36.5,0.988861041
37,0.977873094
37.5,0.977873094
38,0.985252654
38.5,0.996465932
39,1
